num_samples,dim,train_file,model,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman,opt_file,start_score,start_true_fitness,best_train_true_fitness,best_train_predicted_score,best_train_predicted_true_fitness,simulated_annealing_score,simulated_annealing_improvement,simulated_annealing_min_hamming,simulated_annealing_nn_true_fitness,simulated_annealing_nn_predicted_fitness,simulated_annealing_nn_percentile,simulated_annealing_nn_hamming,greedy_hill_climb_score,greedy_hill_climb_improvement,greedy_hill_climb_min_hamming,greedy_hill_climb_nn_true_fitness,greedy_hill_climb_nn_predicted_fitness,greedy_hill_climb_nn_percentile,greedy_hill_climb_nn_hamming,random_search_score,random_search_improvement,random_search_min_hamming,random_search_nn_true_fitness,random_search_nn_predicted_fitness,random_search_nn_percentile,random_search_nn_hamming,genetic_algorithm_score,genetic_algorithm_improvement,genetic_algorithm_min_hamming,genetic_algorithm_nn_true_fitness,genetic_algorithm_nn_predicted_fitness,genetic_algorithm_nn_percentile,genetic_algorithm_nn_hamming,latent_bo_score,latent_bo_improvement,latent_bo_min_hamming,latent_bo_nn_true_fitness,latent_bo_nn_predicted_fitness,latent_bo_nn_percentile,latent_bo_nn_hamming,latent_bo_ucb
1000,32,train_gfp_1000_32.json,qubo,0.5780582428649927,1.5722432566675801,0.6981011967058111,-1.1149025121860006,0.7916959167123698,0.16770869271731798,optimize_gfp_1000_32.json,4.103927517720248,4.03142173285,4.03142173285,4.6560456415176645,3.80096112486,15.06991380832533,10.965986290605082,10,3.793430861,4.15448398409681,96.25,10,15.069913808325325,10.965986290605077,10,3.793430861,4.15448398409681,96.25,10,11.99003053863489,7.886103020914643,10,3.73419818106,3.4625197578128626,89.875,10,15.069913808325325,10.965986290605077,10,3.793430861,4.15448398409681,96.25,10,-3.9534363603976708,-8.057363878117918,6,3.1904486521900006,2.705962134415384,45.5,6,7.422655922694442
5000,16,train_gfp_5000_16.json,qubo,0.9977560220060928,1.0206262641811163,0.11316081406989031,0.07591646472476077,0.3346925311057831,0.28734818334818335,optimize_gfp_5000_16.json,2.323474351522158,4.07251222436,4.07251222436,3.945787861071022,3.645594267130001,4.204295842823537,1.8808214913013792,3,3.75515881854,3.2864426214694067,93.95,3,4.127722534262368,1.80424818274021,1,3.5727307390199994,3.9093453261012128,69.25,1,4.13585492161819,1.8123805700960318,2,3.57322466715,3.680857268644984,69.325,2,4.1548253388301575,1.8313509873079994,1,3.645594267130001,3.945787861071022,79.225,1,2.9390756574465664,0.6156013059244083,1,3.72233435955,3.2594013540877893,90.475,1,3.4438816033987143
10000,16,train_gfp_10000_16.json,qubo,1.005192729966031,1.0152334685322681,0.09738440604184517,0.08221567997814316,0.3198459436460304,0.30199608349902085,optimize_gfp_10000_16.json,2.7734719241225596,4.10786742178,4.10786742178,3.8638095703025885,3.73362544434,3.967386394763232,1.1939144706406726,1,3.70957675311,3.6227180814523336,89.175,1,3.9507919361851473,1.1773200120625877,2,3.6118926279,3.6601699047570513,74.275,2,3.9673863947632393,1.1939144706406797,1,3.70957675311,3.6227180814523336,89.175,1,3.9673863947632393,1.1939144706406797,1,3.70957675311,3.6227180814523336,89.175,1,3.123282929398094,0.34981100527553455,1,1.42991007817,3.0081432164404074,24.975,1,3.3177763740852955
2000,16,train_gfp_2000_16.json,qubo,0.9640093691736834,1.0604446469645512,0.1721589841719957,0.008626791667111888,0.40757073733231935,0.2565947912174451,optimize_gfp_2000_16.json,3.053525261707868,4.05922081536,4.05922081536,4.006454768833251,3.54559897134,4.908530378248457,1.8550051165405894,3,3.70077655434,3.3404765013834137,88.6875,3,4.629031077038248,1.5755058153303803,3,3.6011599659400004,3.198139666392369,74.5,3,4.752560240631075,1.699034978923207,3,3.7430036379,3.875862755142637,92.625,3,4.908530378248444,1.855005116540576,3,3.70077655434,3.3404765013834137,88.6875,3,2.9911832814878068,-0.0623419802200611,2,1.33456293098,2.628143827993122,22.5,2,3.593568672824055
2000,32,train_gfp_2000_32.json,qubo,0.7595488761229426,1.213406943797382,0.4860795716492925,-0.29799829341861983,0.6697811053832443,0.23516003225020154,optimize_gfp_2000_32.json,3.548538533717124,4.05922081536,4.05922081536,4.762037987359308,3.80191546583,9.713713286579244,6.16517475286212,9,3.61066986257,3.7710718924768325,75.75,9,10.332461720563291,6.783923186846167,9,2.80999450291,2.57082241491627,41.625,9,7.79032634601526,4.241787812298137,7,3.67535396531,3.664401529394354,84.0625,7,10.332461720563291,6.783923186846167,9,2.80999450291,2.57082241491627,41.625,9,0.8871094995411837,-2.6614290341759403,7,3.86668366764,3.7466205651777034,98.8125,7,7.626037109726415
